510 1254 1 510 4
1 2 3
147 115 14
147 146 7
147 148 10
148 147 10
148 180 10
149 117 2
149 150 13
150 149 13
150 182 15
151 119 18
151 152 14
152 151 14
152 153 7
152 184 11
153 121 14
153 152 7
153 154 18
154 153 18
154 155 11
155 123 5
155 154 11
155 156 18
156 155 18
156 157 9
156 188 10
157 125 12
157 156 9
158 159 4
158 190 9
159 127 4
159 158 4
160 128 13
160 161 12
161 160 12
161 162 15
161 193 19
162 130 19
162 161 15
163 164 3
163 195 1
164 132 11
164 163 3
165 166 5
165 197 11
166 134 17
166 165 5
166 167 5
167 166 5
168 169 15
169 168 15
169 170 6
170 138 2
170 169 6
170 171 15
171 170 15
171 172 18
171 203 10
172 140 6
172 171 18
173 174 9
173 205 6
174 173 9
174 175 9
175 174 9
175 176 19
175 207 10
176 144 16
176 175 19
176 177 11
177 176 11
177 209 7
178 179 5
179 178 5
179 180 15
180 148 10
180 179 15
180 181 17
181 180 17
181 182 15
181 213 11
182 150 15
182 181 15
182 183 2
183 182 2
183 184 10
184 152 11
184 183 10
185 186 8
185 217 15
186 185 8
186 187 11
187 186 11
187 188 9
187 219 16
188 156 10
188 187 9
188 189 8
189 188 8
189 190 2
189 221 2
190 158 9
190 189 2
191 223 12
192 193 7
192 224 12
193 161 19
193 192 7
193 194 16
194 193 16
194 195 9
194 226 16
195 163 1
195 194 9
195 196 8
196 195 8
196 197 11
196 228 2
197 165 11
197 196 11
197 198 3
198 197 3
198 199 10
198 230 8
199 198 10
200 201 17
200 232 4
201 200 17
201 202 10
202 201 10
202 203 9
203 171 10
203 202 9
203 204 19
204 203 19
204 205 8
204 236 6
205 173 6
205 204 8
205 206 1
206 205 1
206 207 2
206 238 8
207 175 10
207 206 2
207 208 18
208 207 18
208 209 12
208 240 10
209 177 7
209 208 12
209 210 4
210 209 4
210 211 7
210 242 12
211 210 7
212 213 14
212 244 13
213 181 11
213 212 14
213 214 8
214 213 8
214 215 4
214 246 14
215 214 4
215 216 5
216 215 5
216 217 9
216 248 9
217 185 15
217 216 9
217 218 16
218 217 16
218 250 7
219 187 16
219 220 19
220 219 19
220 221 4
221 189 2
221 220 4
221 222 17
222 221 17
222 223 1
223 191 12
223 222 1
224 192 12
224 225 9
225 224 9
225 226 11
225 257 16
226 194 16
226 225 11
226 227 5
227 226 5
227 228 1
227 259 19
228 196 2
228 227 1
228 229 13
229 228 13
229 230 13
229 261 8
230 198 8
230 229 13
230 231 12
231 230 12
231 232 2
232 200 4
232 231 2
232 233 7
233 232 7
233 234 14
233 265 17
234 233 14
234 235 14
235 234 14
235 236 6
235 267 13
236 204 6
236 235 6
237 238 9
237 269 15
238 206 8
238 237 9
238 239 15
239 238 15
239 240 5
239 271 2
240 208 10
240 239 5
240 241 4
241 240 4
241 242 9
241 273 4
242 210 12
242 241 9
242 243 12
243 242 12
243 244 4
243 275 4
244 212 13
244 243 4
244 245 19
245 244 19
245 246 8
245 277 12
246 214 14
246 245 8
246 247 11
247 246 11
247 248 9
247 279 11
248 216 9
248 247 9
248 249 8
249 248 8
249 250 16
249 281 18
250 218 7
250 249 16
251 252 7
251 283 15
252 251 7
253 254 10
253 285 8
254 253 10
254 255 3
255 254 3
255 287 10
256 257 2
256 288 4
257 225 16
257 256 2
257 258 11
258 257 11
258 259 3
258 290 15
259 227 19
259 258 3
259 260 1
260 259 1
260 261 18
260 292 7
261 229 8
261 260 18
261 262 2
262 261 2
262 263 10
263 262 10
263 264 11
264 263 11
264 265 5
264 296 2
265 233 17
265 264 5
265 266 13
266 265 13
266 298 16
267 235 13
268 269 13
268 300 10
269 237 15
269 268 13
269 270 5
270 269 5
270 271 3
270 302 13
271 239 2
271 270 3
271 272 13
272 271 13
272 304 13
273 241 4
273 274 4
274 273 4
274 275 2
274 306 18
275 243 4
275 274 2
276 277 17
276 308 7
277 245 12
277 276 17
277 278 6
278 277 6
278 310 4
279 247 11
279 280 6
280 279 6
280 281 1
281 249 18
281 280 1
281 282 17
282 281 17
282 283 8
282 314 14
283 251 15
283 282 8
283 284 11
284 283 11
284 285 8
284 316 7
285 253 8
285 284 8
285 286 2
286 285 2
286 287 11
286 318 13
287 255 10
287 286 11
288 256 4
288 289 6
289 288 6
289 321 17
290 258 15
290 291 4
291 290 4
291 292 4
292 260 7
292 291 4
292 293 3
293 292 3
293 325 19
294 295 1
295 294 1
295 296 14
295 327 13
296 264 2
296 295 14
296 297 18
297 296 18
297 298 12
297 329 13
298 266 16
298 297 12
298 299 16
299 298 16
299 331 9
300 268 10
300 301 1
301 300 1
301 333 16
302 270 13
302 303 12
303 302 12
303 304 6
303 335 16
304 272 13
304 303 6
304 305 7
305 304 7
305 306 5
305 337 2
306 274 18
306 305 5
306 307 10
307 306 10
307 339 19
308 276 7
308 309 11
309 308 11
309 310 10
309 341 14
310 278 4
310 309 10
310 311 18
311 310 18
311 312 2
311 343 14
312 311 2
312 313 2
313 312 2
313 314 12
313 345 17
314 282 14
314 313 12
314 315 1
315 314 1
315 316 6
315 347 4
316 284 7
316 315 6
316 317 7
317 316 7
317 318 16
317 349 13
318 286 13
318 317 16
318 319 18
319 318 18
319 351 10
320 321 8
320 352 11
321 289 17
321 320 8
321 322 3
322 321 3
322 323 10
322 354 19
323 322 10
323 324 13
324 323 13
324 325 6
324 356 4
325 293 19
325 324 6
325 326 13
326 325 13
326 327 7
326 358 2
327 295 13
327 326 7
327 328 6
328 327 6
328 329 14
328 360 9
329 297 13
329 328 14
330 362 7
331 299 9
331 332 16
332 331 16
332 333 17
332 364 19
333 301 16
333 332 17
333 334 7
334 333 7
334 335 17
334 366 3
335 303 16
335 334 17
335 336 16
336 335 16
336 337 14
337 305 2
337 336 14
338 339 9
338 370 6
339 307 19
339 338 9
339 340 9
340 339 9
340 341 9
340 372 18
341 309 14
341 340 9
341 342 15
342 341 15
342 343 6
342 374 1
343 311 14
343 342 6
343 344 1
344 343 1
344 345 1
344 376 18
345 313 17
345 344 1
345 346 17
346 345 17
346 347 6
346 378 8
347 315 4
347 346 6
347 348 7
348 347 7
348 349 17
348 380 2
349 317 13
349 348 17
350 351 9
350 382 8
351 319 10
351 350 9
352 320 11
352 353 16
353 352 16
353 354 12
353 385 2
354 322 19
354 353 12
355 387 4
356 324 4
357 358 7
357 389 12
358 326 2
358 357 7
358 359 15
359 358 15
359 360 11
359 391 9
360 328 9
360 359 11
360 361 4
361 360 4
361 362 2
361 393 14
362 330 7
362 361 2
362 363 19
363 362 19
363 364 11
363 395 9
364 332 19
364 363 11
364 365 8
365 364 8
365 397 19
366 334 3
366 367 18
367 366 18
367 368 13
367 399 14
368 367 13
369 370 9
369 401 18
370 338 6
370 369 9
370 371 6
371 370 6
371 372 10
371 403 7
372 340 18
372 371 10
372 373 9
373 372 9
373 374 18
374 342 1
374 373 18
374 375 7
375 374 7
375 407 13
376 344 18
376 377 7
377 376 7
377 378 17
378 346 8
378 377 17
379 411 4
380 348 2
380 381 1
381 380 1
381 413 14
382 350 8
382 383 18
383 382 18
383 415 1
384 385 17
384 416 4
385 353 2
385 384 17
385 386 11
386 385 11
386 387 17
387 355 4
387 386 17
387 388 1
388 387 1
388 389 18
388 420 9
389 357 12
389 388 18
390 391 13
390 422 14
391 359 9
391 390 13
391 392 18
392 391 18
392 424 1
393 361 14
394 395 18
394 426 12
395 363 9
395 394 18
395 396 10
396 395 10
396 428 18
397 365 19
397 398 16
398 397 16
398 399 18
398 430 18
399 367 14
399 398 18
399 400 2
400 399 2
400 401 7
400 432 1
401 369 18
401 400 7
401 402 5
402 401 5
402 403 17
402 434 5
403 371 7
403 402 17
404 405 2
405 404 2
405 406 1
406 405 1
406 407 4
406 438 10
407 375 13
407 406 4
407 408 9
408 407 9
408 409 14
409 408 14
409 410 14
410 409 14
410 411 9
410 442 5
411 379 4
411 410 9
411 412 1
412 411 1
412 413 8
412 444 17
413 381 14
413 412 8
414 415 12
414 446 9
415 383 1
415 414 12
416 384 4
416 417 12
417 416 12
417 418 18
417 449 6
418 417 18
418 419 1
419 418 1
419 420 3
419 451 7
420 388 9
420 419 3
420 421 3
421 420 3
421 422 6
421 453 12
422 390 14
422 421 6
423 424 8
423 455 18
424 392 1
424 423 8
424 425 4
425 424 4
425 426 6
425 457 7
426 394 12
426 425 6
426 427 3
427 426 3
427 428 9
427 459 14
428 396 18
428 427 9
428 429 17
429 428 17
429 430 3
429 461 3
430 398 18
430 429 3
430 431 4
431 430 4
431 432 10
431 463 6
432 400 1
432 431 10
433 434 10
433 465 18
434 402 5
434 433 10
435 467 12
436 437 10
437 436 10
437 438 11
437 469 12
438 406 10
438 437 11
438 439 2
439 438 2
439 440 17
439 471 1
440 439 17
440 441 12
441 440 12
441 442 14
441 473 9
442 410 5
442 441 14
442 443 18
443 442 18
443 444 9
443 475 15
444 412 17
444 443 9
444 445 1
445 444 1
445 446 7
445 477 2
446 414 9
446 445 7
446 447 13
447 446 13
447 479 19
448 449 1
448 480 9
449 417 6
449 448 1
449 450 13
450 449 13
450 451 4
450 482 15
451 419 7
451 450 4
452 453 13
452 484 14
453 421 12
453 452 13
453 454 19
454 453 19
454 455 2
455 423 18
455 454 2
455 456 3
456 455 3
456 488 2
457 425 7
458 459 14
458 490 7
459 427 14
459 458 14
460 461 9
461 429 3
461 460 9
461 462 10
462 461 10
462 494 4
463 431 6
463 464 19
464 463 19
464 465 14
465 433 18
465 464 14
465 466 2
466 465 2
466 498 5
467 435 12
467 468 1
468 467 1
468 469 4
468 500 12
469 437 12
469 468 4
469 470 1
470 469 1
470 502 7
471 439 1
471 472 14
472 471 14
472 473 17
472 504 17
473 441 9
473 472 17
473 474 14
474 473 14
474 475 3
474 506 2
475 443 15
475 474 3
475 476 19
476 475 19
476 477 10
476 508 11
477 445 2
477 476 10
477 478 7
478 477 7
478 479 19
478 510 8
479 447 19
479 478 19
480 448 9
480 481 3
481 480 3
481 482 2
482 450 15
482 481 2
482 483 16
483 482 16
483 484 13
484 452 14
484 483 13
484 485 17
485 484 17
485 486 1
486 485 1
486 487 14
487 486 14
487 488 5
488 456 2
488 487 5
489 490 11
490 458 7
490 489 11
491 492 9
492 491 9
492 493 4
493 492 4
493 494 15
494 462 4
494 493 15
494 495 16
495 494 16
495 496 1
496 495 1
496 497 7
497 496 7
497 498 9
498 466 5
498 497 9
498 499 14
499 498 14
499 500 9
500 468 12
500 499 9
500 501 10
501 500 10
501 502 7
502 470 7
502 501 7
502 503 13
503 502 13
503 504 16
504 472 17
504 503 16
504 505 11
505 504 11
505 506 14
506 474 2
506 505 14
506 507 3
507 506 3
507 508 10
508 476 11
508 507 10
508 509 3
509 508 3
509 510 7
510 478 8
510 509 7
1 32 33 133 238 277 311
65 132 138 274 348 380 381
96 203 205 245 275 312 477
99 131 135 204 239 278 412
